"ASV_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Confidence","Unique.ID"
"897f8f41fac3d561c4498aefa3b7adb1","Bacteria","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","Marinimicrobia_(SAR406_clade)","",1,"Bacteria_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)_Marinimicrobia_(SAR406_clade)"
"898e1f3285a8f87c8147bd4f90bacd96","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Edaphobaculum","",0.999988088,"Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Chitinophagaceae_Edaphobaculum"
"89926f549423b64fb3ae980e11037b6c","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_III","Clade_III","Candidatus_Fonsibacter",0.905812934,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Clade_III_Clade_III"
"8996da830c46413c67932b3e973c8fa7","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","metagenome",0.978682933,"Bacteria_Bacteroidota_Bacteroidia_Chitinophagales_Chitinophagaceae_uncultured"
"89a497b851e3dd57d5ce41104422d077","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","uncultured_Peredibacter",0.923410869,"Bacteria_Bdellovibrionota_Bdellovibrionia_Bacteriovoracales_Bacteriovoracaceae_Peredibacter"
"89a4c6a3193cb908407e30782308e0c9","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","","",0.971350543,"Bacteria_Bacteroidota_Bacteroidia_Flavobacteriales_Flavobacteriaceae_"
"89a8757b84205cc638f7d041435497c4","Bacteria","Elusimicrobiota","Rs-M47","Rs-M47","Rs-M47","Rs-M47","uncultured_bacterium",0.999007389,"Bacteria_Elusimicrobiota_Rs-M47_Rs-M47_Rs-M47_Rs-M47"
"89b237b302ce713c2dfd4b4b67a14c21","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","","","",1,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade__"
"89b699637795f54409c4611162e467ee","Bacteria","Proteobacteria","Alphaproteobacteria","","","","",0.999999982,"Bacteria_Proteobacteria_Alphaproteobacteria___"
"89e05e1d408f6ee19de6faac028a62f3","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia","",0.958369756,"Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade_Clade_I_Clade_Ia"
"89e3eb6aa31f957a5b40f444c5bcf8d8","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina","",0.999681945,"Bacteria_Nitrospinota_Nitrospinia_Nitrospinales_Nitrospinaceae_Nitrospina"
"89fd64cdbd6a3b2406accff62ced9552","Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","",0.999999997,"Bacteria_Latescibacterota_Latescibacterota_Latescibacterota_Latescibacterota_Latescibacterota"
"8a0152e1153ebcd0f696bb217136aa58","Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera","uncultured_bacterium",0.99999908,"Bacteria_Verrucomicrobiota_Lentisphaeria_Lentisphaerales_Lentisphaeraceae_Lentisphaera"
"8a116c710df5445fa92e5495ec8635fd","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas_sputigena",0.993517732,"Bacteria_Firmicutes_Negativicutes_Veillonellales-Selenomonadales_Selenomonadaceae_Selenomonas"
