Cruise,StationID,SAMPLE_ID,Sample_Name_Final,Location,Depth_m,BottomDepth_m_,Date_yyyy_mm_dd_,Lat_dd_ddddN_,Lon_dd_ddddE_,Transect,Month,Year,Distance_from_glacier,Salinity_PSU,NO3_uM,NO2_uM,PO4_uM,NH3_uM,SiO4_uM,Temp_C,CTD.depth,Dis_O2_Conc,Turbidity_NTU,ChlA_ug_L,N2,rho,Upwelling.Classification
A2208,SD1,SD1_4,Sydkap_1_20_2022,South Cape Fiord,20,130,8/24/22,76.65643,-85.2144,Sydkap-out,August,2022,0.249,30.18796433,1.07,0.09,0.43,2.01,3.02,-0.19580707,20,390.7737287,4.890202008,0.288152082,0.001250366,1024.332521,Upwelling
A2208,SD1,SD1_3,Sydkap_1_45_2022,South Cape Fiord,45,130,8/24/22,76.65643,-85.2144,Sydkap-out,August,2022,0.249,31.56117303,0.89,0.03,0.58,0.88,2.75,-0.95487664,45,408.1676711,5.287190293,0.168374842,0.000324804,1025.58831,Upwelling
A2208,SD1,SD1_5,Sydkap_1_5_2022,South Cape Fiord,5,130,8/24/22,76.65643,-85.2144,Sydkap-out,August,2022,0.249,28.7987859,1.97,0.04,0.43,0.95,5.41,0.231161608,5,385.9742858,16.13244671,0.556311349,0.001042228,1023.124052,Upwelling
A2208,SD1,SD1_2,Sydkap_1_80_2022,South Cape Fiord,80,130,8/24/22,76.65643,-85.2144,Sydkap-out,August,2022,0.249,32.53796764,4.41,0.08,0.77,1.89,7.82,-1.405875639,80,354.5299076,3.237056385,0.131929918,2.50E-05,1026.562098,Below 50m
A2208,SD7,SD7_7,Sydkap_7_30_2022,South Cape Fiord,30,143,8/22/22,76.5797,-84.98465,Sydkap-out,August,2022,10.33,30.8454109,0.6,0.02,0.52,0.83,2.53,-0.475965313,30,412.8529961,1.412357908,0.226091797,0.00067823,1024.921105,Upwelling
A2208,SD7,SD7_11,Sydkap_7_5_2022,South Cape Fiord,5,143,8/22/22,76.5797,-84.98465,Sydkap-out,August,2022,10.33,28.91790604,0.12,0.06,0.26,0.55,1.53,0.7216216,5,391.8666994,1.193505027,0.338643136,0.000804961,1023.200015,Upwelling
A2208,SD7,SD7_5,Sydkap_7_50_2022,South Cape Fiord,50,143,8/22/22,76.5797,-84.98465,Sydkap-out,August,2022,10.33,31.76742613,1.11,0.18,0.51,6.55,1.93,-0.66640954,50,403.0542474,0.469548257,0.290826366,0.000415508,1025.769357,Upwelling
A2208,SD7,SD7_3,Sydkap_7_80_2022,South Cape Fiord,80,143,8/22/22,76.5797,-84.98465,Sydkap-out,August,2022,10.33,32.59179292,6.34,0.12,0.9,1.13,11.41,-1.346528173,80,342.6527577,0.933536117,0.135829835,5.19E-05,1026.603823,Below 50m
A2208,SDB1,SDB1_4a,Sydkap_SDB1_15a_2022,South Cape Fiord,15,139,9/2/22,76.65317,-85.22124,Sydkap-out,August,2022,0.184,29.57468133,0.71,0.03,0.43,0.68,2.75,0.388508594,15,383.1501093,1.916222312,0.753223419,0.000883516,1023.790927,Upwelling
A2208,SDB1,SDB1_4b,Sydkap_SDB1_15b_2022,South Cape Fiord,15,139,9/2/22,76.65317,-85.22124,Sydkap-out,August,2022,0.184,29.57468133,0.71,0.03,0.43,0.68,2.75,0.388508594,15,383.1501093,1.916222312,0.753223419,0.000883516,1023.790927,Upwelling
A2208,SDB1,SDB1_3,Sydkap_SDB1_45_2022,South Cape Fiord,45,139,9/2/22,76.65317,-85.22124,Sydkap-out,August,2022,0.184,32.11789545,1.5,0.51,0.4,1.77,2.72,-1.150787458,45,383.8047485,3.511601951,0.117043859,0.00040109,1026.045086,Upwelling
A2208,SDB1,SDB1_5,Sydkap_SDB1_5_2022,South Cape Fiord,5,139,9/2/22,76.65317,-85.22124,Sydkap-out,August,2022,0.184,28.09204206,0.91,0.01,0.35,0.28,3.94,1.071575743,5,370.2740706,2.720039599,0.669497403,0.003221927,1022.520646,Upwelling
A2108,JS6,JS6_20,Starnes_1_6_20_2021,Starnes.1,20,130,8/12/21,76.52487,-82.23704,Starnes Fiord - out,August,2021,0.26,31.12961665,0.32,0.01,0.51,1.2,2.17,1.153374961,20,327.4705897,0.595686248,0.328855399,0.000722803,1025.025064,No upwelling
A2108,JS6,JS6_5,Starnes_1_6_5_2021,Starnes.1,5,130,8/12/21,76.52487,-82.23704,Starnes Fiord - out,August,2021,0.26,29.03716405,0,0.01,0.37,1.57,2.25,2.867524349,5,314.8854823,0.439913663,0.179846793,0.002409877,1023.167071,No upwelling
A2108,JS7,JS7_25,Starnes_1_7_25_2021,Starnes.1,25,160,8/12/21,76.52582,-82.21842,Starnes Fiord - out,August,2021,0.76,31.17058052,0.06,0,0.48,0.52,1.49,1.410289302,25,337.2934022,0.307266698,0.335208315,0.00025386,1025.066004,No upwelling
A2108,JS7,JS7_5,Starnes_1_7_5_2021,Starnes.1,5,160,8/12/21,76.52582,-82.21842,Starnes Fiord - out,August,2021,0.76,29.17623432,0,0,0.4,1.03,1.64,2.8802112,5,319.748162,0.519947491,0.138164659,0.00263764,1023.277063,No upwelling
A2108,JS10,JS10_5,Starnes_2_10_5_2021,Starnes.2,5,10,8/12/21,76.62359,-82.413,Starnes Fiord - out,August,2021,0.13,29.49254449,0.02,0.02,0.37,1.65,1.99,2.563123067,5,378.5144628,2.998636882,4.73298645,0.005474989,1023.552719,No upwelling
A2108,JS11,JS11_5,Starnes_2_11_5_2021,Starnes.2,5,60,8/12/21,76.62759,-82.40246,Starnes Fiord - out,August,2021,0.65,29.19199875,0,0.01,0.23,0.36,3.43,2.858083879,5,333.9924524,0.855721368,0.246986235,0.004550909,1023.290879,No upwelling
V2108,SV1,SV1_3_2021,Sverdrup_1_120_2021,Sverdrup Glacier,120,148,8/14/21,75.74925,-83.24268,Sverdrup_out,August,2021,1.714,32.72111967,9.67,0.17,1.18,0.36,20.67,-1.75433975,120,304.3990971,1.07705448,0.165940764,8.98E-07,1026.91264,Below 50m
V2108,SV1,SV1_2,Sverdrup_1_25_2021,Sverdrup Glacier,25,148,8/14/21,75.74925,-83.24268,Sverdrup_out,August,2021,1.714,32.53020611,7.18,0.08,0.96,0.21,NA,-0.587128171,25,347.5476448,0.934818615,2.430387925,1.57E-05,1026.262044,Upwelling
V2108,SV1,SV1_1,Sverdrup_1_5_2021,Sverdrup Glacier,5,148,8/14/21,75.74925,-83.24268,Sverdrup_out,August,2021,1.714,32.39746098,4.06,0.08,0.76,0.08,12.91,-0.226504413,5,359.0967218,2.005749327,3.812760787,0.000367889,1026.044335,Upwelling
V2108,SV11,SV11_1,Sverdrup_11_45_2021,Sverdrup Glacier,45,49,8/17/21,75.79493,-83.35562,Sverdrup_out,August,2021,7.611,32.6808214,9.14,0.11,1.09,0.66,18.42,-1.183290216,45,322.7026908,0.39699744,0.521871301,1.86E-05,1026.501331,Upwelling
V2108,SV11,SV11_3,Sverdrup_11_5_2021,Sverdrup Glacier,5,49,8/17/21,75.79493,-83.35562,Sverdrup_out,August,2021,7.611,31.81535915,0.06,0.01,0.36,0,0.13,0.654972007,5,393.6637665,0.62431784,4.937232682,0.000993147,1025.532515,Upwelling
V2108,SV11,SV11_2,Sverdrup_11_8_2021,Sverdrup Glacier,8,49,8/17/21,75.79493,-83.35562,Sverdrup_out,August,2021,7.611,32.13025797,0.08,0,0.45,0,2.39,0.229762456,8,394.9260721,0.788340502,10.6900555,0.000696906,1025.8221,Upwelling
V2108,SV14,SV14_2,Sverdrup_14_18_2021,Sverdrup Glacier,18,56,8/17/21,75.84537,-83.44153,Sverdrup_out,August,2021,13.611,31.65166825,0.04,0,0.44,0,0.31,0.621254638,18,393.8652772,0.706505885,9.24055259,0.00024476,1025.464917,Upwelling
V2108,SV14,SV14_3,Sverdrup_14_5_2021,Sverdrup Glacier,5,56,8/17/21,75.84537,-83.44153,Sverdrup_out,August,2021,13.611,31.07117682,NA,NA,NA,NA,NA,1.581978406,5,369.2378997,0.199549886,0.425994804,0.001283966,1024.880905,Upwelling
V2108,SV14,SV14_1,Sverdrup_14_50_2021,Sverdrup Glacier,50,56,8/17/21,75.84537,-83.44153,Sverdrup_out,August,2021,13.611,31.97128849,2.22,0.04,0.67,0.22,5.13,0.330986023,50,378.7917221,0.691418457,7.604171753,-3.64E-05,1025.889512,Upwelling
V2108,SV15,SV15_1,Sverdrup_15_200_2021,Sverdrup Glacier,200,226,8/18/21,75.874,-83.4582,Sverdrup_out,August,2021,16.647,33.36128748,11.59,0.06,1.16,0,19.18,-0.973522163,200,302.3004135,0.081041001,0.12702068,2.50E-05,1027.78952,Below 50m
V2108,SV15,SV15_2,Sverdrup_15_28_2021,Sverdrup Glacier,28,226,8/18/21,75.874,-83.4582,Sverdrup_out,August,2021,16.647,31.62788724,0.15,0,0.46,0,0.13,0.618013578,28,392.4865791,0.581076605,8.674058648,0.000426021,1025.49289,Upwelling
V2108,SV15,SV15_3,Sverdrup_15_5_2021,Sverdrup Glacier,5,226,8/18/21,75.874,-83.4582,Sverdrup_out,August,2021,16.647,30.79585695,0,0,0.36,0.32,1.13,1.981305013,5,365.3550011,0.098977384,0.280564002,0.000366323,1024.634804,Upwelling
V2108,SV2,SV2_1,Sverdrup_2_125_2021,Sverdrup Glacier,125,154,8/16/21,75.7525,-83.23818,Sverdrup_out,August,2021,1.909,32.72144749,9.34,0.16,1.13,0.33,22.15,-1.746357554,125,305.3124737,0.686388883,0.161440277,4.27E-07,1026.936817,Below 50m
V2108,SV2,SV2_2,Sverdrup_2_18_2021,Sverdrup Glacier,18,154,8/16/21,75.7525,-83.23818,Sverdrup_out,August,2021,1.909,32.36239454,4.95,0.08,0.82,0.25,12.81,-0.374910956,18,366.0741699,1.631611864,6.171684103,0.000143252,1026.084503,Upwelling
V2108,SV2,SV2_3,Sverdrup_2_5_2021,Sverdrup Glacier,5,154,8/16/21,75.7525,-83.23818,Sverdrup_out,August,2021,1.909,31.96656866,0.52,0.04,0.56,0.07,9.11,-0.044292714,5,387.3021588,3.12870239,10.49016605,0.000371011,1025.688704,Upwelling
V2108,SV20,SV20_1,Sverdrup_20_5_2021,Sverdrup Glacier,5,8,8/15/21,75.76492,-83.16405,Sverdrup_across,August,2021,3.081,32.16058207,5.21,0.09,0.88,0.04,12.97,-0.703008652,5,354.673172,2.902099609,2.479297638,0.000578997,1025.871898,Upwelling
V2108,SV3,SV3_1,Sverdrup_3_125_2021,Sverdrup Glacier,125,145,8/16/21,75.75717,-83.22915,Sverdrup_out,August,2021,2.247,32.72432162,9.81,0.17,1.18,0.31,NA,-1.758516462,125,303.1103452,0.71374233,0.116663866,1.08E-06,1026.939474,Below 50m
V2108,SV3,SV3_2,Sverdrup_3_20_2021,Sverdrup Glacier,20,145,8/16/21,75.75717,-83.22915,Sverdrup_out,August,2021,2.247,32.38221749,3.58,0.07,0.79,0.03,NA,-0.03433641,20,371.309305,1.320684506,6.804074305,7.60E-05,1026.09518,Upwelling
V2108,SV3,SV3_3,Sverdrup_3_5_2021,Sverdrup Glacier,5,145,8/16/21,75.75717,-83.22915,Sverdrup_out,August,2021,2.247,31.99506939,0.41,0.07,0.58,0,8.66,0.078279611,5,387.0261302,3.662186871,10.435529,0.000413374,1025.706135,Upwelling
V2108,SV5,SV5_3,Sverdrup_5_5_2021,Sverdrup Glacier,5,58,8/16/21,75.76518,-83.27122,Sverdrup_out,August,2021,3.582,32.02803423,0.8,0.04,0.59,0,8.83,0.13643726,5,387.2776533,2.559878725,4.837659316,0.00015204,1025.729983,Upwelling
V2108,SV5,SV5_1,Sverdrup_5_50_2021,Sverdrup Glacier,50,58,8/16/21,75.76518,-83.27122,Sverdrup_out,August,2021,3.582,32.70235952,9.34,0.14,1.14,0.46,18.98,-1.594064135,50,316.9886451,0.804683339,0.288367185,2.18E-05,1026.555115,Upwelling
V2108,SV5,SV5_2,Sverdrup_5_8_2021,Sverdrup Glacier,8,58,8/16/21,75.76518,-83.27122,Sverdrup_out,August,2021,3.582,32.11025974,1.17,0.05,0.66,0,8.78,0.024404503,8,388.4959218,3.126323631,9.754842654,0.000327691,1025.815841,Upwelling
V2108,SV7,SV7_1,Sverdrup_7_15_2021,Sverdrup Glacier,15,18,8/16/21,75.77287,-83.2923,Sverdrup_out,August,2021,4.612,32.37541378,0.07,0,0.42,0,2.64,-0.082590103,15,367.1909046,0.96181488,7.736162186,0.000142434,1026.068075,Upwelling
V2108,SV7,SV7_2,Sverdrup_7_5_2021,Sverdrup Glacier,5,18,8/16/21,75.77287,-83.2923,Sverdrup_out,August,2021,4.612,32.03574651,2.06,0.06,0.68,0,8.18,0.417565446,5,387.9608853,0.74349286,8.397579144,0.000912964,1025.722141,Upwelling
V2208,SV1,SV1_B1,Sverdrup_1_40_2022,Sverdrup Glacier,40,75,8/23/22,75.74453,-83.23933,Sverdrup-out,August,2022,1.319,32.57025146,6.96,0.08,0.91,0.63,13.37,-1.246477763,40,331.1177775,2.446187337,0.680781047,0.00012304,1026.389552,Upwelling
V2208,SV1,SV1_2b,Sverdrup_1_15_2022,Sverdrup Glacier,15,75,8/23/22,75.74453,-83.23933,Sverdrup-out,August,2022,1.319,32.20767403,4.98,0.08,0.78,0.5,11.49,-0.697680155,15,343.3843002,1.573852539,2.535603841,0.000697114,1025.957862,Upwelling
V2208,SV1,SV1_3_2022,Sverdrup_1_5_2022,Sverdrup Glacier,5,75,8/23/22,75.74453,-83.23933,Sverdrup-out,August,2022,1.319,31.66976261,2.91,0.04,0.6,0.12,8.7,-0.152393341,5,345.0737629,3.352905273,2.374488831,0.000243747,1025.453983,Upwelling
V2208,SV4_B,SV4_1,Sverdrup_4_100_2022,Sverdrup Glacier,100,100,8/23/22,75.76333,-83.24983,Sverdrup-out,August,2022,3.106,32.76168108,6.68,0.16,0.85,0.96,13.28,-1.744667053,95.5,328.0271072,0.499404907,0.228355408,7.96E-06,1026.827068,Below 50m
V2208,SV4_B,SV4_4,Sverdrup_4_5_2022,Sverdrup Glacier,5,100,8/23/22,75.76333,-83.24983,Sverdrup-out,August,2022,3.106,31.6773936,2.11,0.04,0.5,0.3,8.44,-0.050300598,5,350.5258865,1.797688802,3.086868286,0.000186636,1025.45578,Upwelling
V2108,TA1,TA1_2,Talbot_Inlet_1_20_2021,Talbot Inlet,20,546,8/7/21,77.82328,-76.83692,Talbot_out,August,2021,39.434,30.89161279,0.03,0,0.38,0,1.94,-0.108039798,20,413.7987293,0.278283784,1.170200232,0.000708621,1024.894678,"Open Water, upper 50m"
V2108,TA1,TA1_3,Talbot_Inlet_1_5_2021,Talbot Inlet,5,546,8/7/21,77.82328,-76.83692,Talbot_out,August,2021,39.434,29.49002859,0.13,0,0.35,0,1.27,0.091771328,5,399.0051319,0.217944521,0.262786287,0.000361999,1023.685263,"Open Water, upper 50m"
V2108,TA1,TA1_1,Talbot_Inlet_1_500_2021,Talbot Inlet,500,546,8/7/21,77.82328,-76.83692,Talbot_out,August,2021,39.434,34.25438911,12.74,0.04,0.98,0,13.82,-0.197277581,500,278.2470606,0.259119471,0.107135129,2.99E-06,1029.896843,Below 50m
V2108,TA5,TA5_2,Talbot_Inlet_5_25_2021,Talbot Inlet,25,355,8/3/21,77.93053,-78.0727,Talbot_out,August,2021,8.47,31.56428573,0.14,0,0.41,1.15,1.94,0.576234644,25,407.0905912,0.384313872,0.181901643,0.000299734,1025.429184,Upwelling
V2108,TA5,TA5_1,Talbot_Inlet_5_340_2021,Talbot Inlet,340,355,8/3/21,77.93053,-78.0727,Talbot_out,August,2021,8.47,34.13684068,13.18,0.02,1.02,0,14.66,-0.259758541,340,275.0121645,1.081059047,0.146874564,2.60E-05,1029.04815,Below 50m
V2108,TA5,TA5_3,Talbot_Inlet_5_5_2021,Talbot Inlet,5,355,8/3/21,77.93053,-78.0727,Talbot_out,August,2021,8.47,29.56934117,0,0,0.28,0,1.83,1.002192896,5,381.0019692,1.827121249,0.713943551,0.003204216,1023.708543,Upwelling
V2108,TA6,TA6_1,Talbot_Inlet_6_400_2021,Talbot Inlet,400,464,8/2/21,77.91833,-77.76795,Talbot_out,August,2021,15.672,34.19954,NA,NA,NA,NA,NA,-0.2249499,400,278.0251996,0.210370058,0.083025799,4.79E-06,1029.381403,Below 50m
V2108,TA6,TA6_3,Talbot_Inlet_6_5_2021,Talbot Inlet,5,464,8/2/21,77.91833,-77.76795,Talbot_out,August,2021,15.672,29.87620684,NA,NA,NA,NA,NA,1.254007224,5,393.9724382,1.312406598,0.481198976,0.002298917,1023.941319,Upwelling
V2108,TA7,TA7_2,Talbot_Inlet_7_15_2021,Talbot Inlet,15,404,8/2/21,77.94948,-78.29783,Talbot_out,August,2021,3.403,31.34924307,0.88,0.01,0.43,0.18,2.85,-0.60208582,15,397.3567469,1.433385702,0.383650148,0.000356125,1025.259003,Upwelling
V2108,TA7,TA7_1,Talbot_Inlet_7_350_2021,Talbot Inlet,350,404,8/2/21,77.94948,-78.29783,Talbot_out,August,2021,3.403,34.16932608,13.04,0.03,1.02,0.6,14.86,-0.236859524,350,273.5562857,3.392708518,0.138168566,5.34E-06,1029.120407,Below 50m
V2108,TA7,TA7_3,Talbot_Inlet_7_5_2021,Talbot Inlet,5,404,8/2/21,77.94948,-78.29783,Talbot_out,August,2021,3.403,30.09188276,0.28,0.01,0.33,0,3.19,-0.143421294,5,395.0973791,2.125327502,0.560845137,0.003127189,1024.179682,Upwelling
V2108,TA8,TA8_1,Talbot_Inlet_8_180_2021,Talbot Inlet,180,207,8/4/21,77.89075,-78.39375,Talbot_out,August,2021,5.424,33.50630043,11.12,0.12,0.97,0.2,13.98,-1.122838627,180,307.3622476,20.07798074,0.320891779,0.000147125,1027.816361,Below 50m
V2108,TA8,TA8_2,Talbot_Inlet_8_20_2021,Talbot Inlet,20,207,8/4/21,77.89075,-78.39375,Talbot_out,August,2021,5.424,31.35788188,0.76,0.01,0.45,0,2.75,-0.311484678,20,389.5651365,1.258978271,0.398704321,0.000254474,1025.276163,Upwelling
V2108,TA8,TA8_3,Talbot_Inlet_8_5_2021,Talbot Inlet,5,207,8/4/21,77.89075,-78.39375,Talbot_out,August,2021,5.424,29.59714071,1.1,0.03,0.39,0.09,4.6,-0.15706425,5,388.3815309,4.127899974,1.869381213,0.00236193,1023.778873,Upwelling
