Cruise,StationID,SAMPLE_ID,Sample_Name_Final,Location,Depth_m,BottomDepth_m_,Date_yyyy_mm_dd_,Lat_dd_ddddN_,Lon_dd_ddddE_,Transect,Month,Year,Distance_from_glacier,Salinity_PSU,NO3_uM,NO2_uM,PO4_uM,NH3_uM,SiO4_uM,Temp_C,CTD.depth,Dis_O2_Conc,Turbidity_NTU,ChlA_ug_L,N2,rho,Upwelling.Classification
V2208,BL1-B,BL1_B2,Belcher_1_105_2022,Belcher Glacier,105,260,8/12/22,75.65833,-81.32648,Belcher- out,August,2022,0.151,32.74989152,8.33,0.08,1.01,0.1,14.41,-1.502580643,105,325.767271,1.359893799,0.208576202,2.07E-05,1026.856162,Below 50m
V2208,BL1-B,BL1_B1,Belcher_1_240_2022,Belcher Glacier,240,260,8/12/22,75.65833,-81.32648,Belcher- out,August,2022,0.151,34.03280849,13.49,0.05,1.07,0.1,20.89,-0.091151428,240,266.4371384,2.06484375,0.121795654,7.92E-06,1028.47873,Below 50m
V2208,BL1-B,BL1_B4,Belcher_1_40_2022,Belcher Glacier,40,260,8/12/22,75.65833,-81.32648,Belcher- out,August,2022,0.151,32.61191273,7.32,0.09,0.96,0.44,13.86,-1.383979797,40,335.4611867,2.754923503,0.405893962,3.97E-05,1026.427084,Upwelling
V2208,BL1-B,BL1_B3,Belcher_1_65_2022,Belcher Glacier,65,260,8/12/22,75.65833,-81.32648,Belcher- out,August,2022,0.151,32.67696238,7.97,0.11,1.01,0.35,14.23,-1.469278336,65,329.6488266,0.831436157,0.305500031,1.26E-05,1026.603229,Below 50m
V2208,BL6_B,BL6_B6,Belcher_6_45_2022,Belcher Glacier,45,323,8/10/22,75.66123,-81.15945,Belcher- out,August,2022,4.753,32.44581117,5.33,0.08,0.86,0.51,11.05,-1.233189053,45,353.3278529,1.60418023,1.43617079,2.53E-05,1026.31215,Upwelling
V2208,BL6_B,BL6_B4,Belcher_6_70_2022,Belcher Glacier,70,323,8/10/22,75.66123,-81.15945,Belcher- out,August,2022,4.753,32.61871958,7.4,0.08,0.98,0.29,13.34,-1.395183563,70,338.7890256,1.36428833,0.441762288,1.63E-05,1026.57799,Below 50m
A2108,JS27,JS27_20,Grise_Fiord_27_20_2021,Grise Fiord,20,45,8/15/21,76.66462,-83.40184,Grise_Fiord_out,August,2021,11.96,31.18428808,1.55,0.01,0.25,1.05,2.32,0.34579121,20,363.5355749,0.318251176,0.549588753,0.000385629,1025.112188,No upwelling
A2108,JS27,JS27_5,Grise_Fiord_27_5_2021,Grise Fiord,5,45,8/15/21,76.66462,-83.40184,Grise_Fiord_out,August,2021,11.96,27.34605552,0,0,0.2,0.29,2.39,2.900628177,5,320.2981985,0.707150546,0.739661477,0.00888575,1021.817288,No upwelling
A2108,JS28,JS28_5,Grise_Fiord_28_5_2021,Grise Fiord,5,65,8/16/21,76.65729,-83.37895,Grise_Fiord_out,August,2021,12.97,27.69931779,0,0.01,0.32,0.55,2.16,2.821365125,5,323.358464,0.311344956,0.606815223,0.007956209,1022.104168,No upwelling
V2208,S1,S1_2,Grise_Fiord_S1_380_2022,Grise Fiord,380,543,8/1/22,76.3654,-82.96305,Grise Fiord-out,August,2022,90.113,34.17791573,15.37,0.15,1.08,1.94,20.27,0.131890615,380,268.7242686,0.047444661,0.097221375,6.66E-06,1029.245414,Below 50m
