"","Cruise","StationID","SAMPLE_ID","Sample_Name_Final","Location","Depth_m","BottomDepth_m_","Date_yyyy_mm_dd_","Lat_dd_ddddN_","Lon_dd_ddddE_","Transect","Month","Water","Season","Year","Distance_from_glacier","Nut_Sample_ID","Salinity_PSU","NO3_uM","NO2_uM","PO4_uM","NH3_uM","SiO4_uM","Station_SCM","Temp_C","CTD.depth","Dis_O2_Conc","Turbidity_NTU","ChlA_ug_L","N2","rho","iso.NO3_uM","d15N","d15N_stdev","d18O_mean","d18O_stdev","iso_submission_confirmation","mapping.DFG","Glacier_name","Environment.type","mapping.depth","Glacial.status","layer","layer.dfg","upwelling.3"
"11","V2108","BL5","BL5_2","Belcher_5_20_2021","Belcher Glacier",20,"254","8/22/21","75.65867","-81.26293","Belcher","August","Marine","Summer",2021,1.896,"BL5_2","31.53231306","0.12","0","0.4","0","0.77","45.968","1.36350938","20","383.3011016","0.646054447","2.246921308","0.000114992","1025.335068","-","-","-","-","-","yes","<3","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"12","V2108","BL5","BL5_3","Belcher_5_5_2021","Belcher Glacier",5,"254","8/22/21","75.65867","-81.26293","Belcher","August","Marine","Summer",2021,1.896,"BL5_3","31.33391051","0.05","0","0.4","0","0.69","45.968","1.748278832","5","381.4199347","0.838926928","1.294516269","0.000157362","1025.080269","-","-","-","-","-","yes","<3","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"13","V2108","BL9","BL9_2","Belcher_9_30_2021","Belcher Glacier",30,"306","8/22/21","75.65992","-81.16727","Belcher","August","Marine","Summer",2021,4.532,"BL9_2","31.60568179","0.24","0","0.46","0.09","1.11","35.855","1.400756085","30","372.3810824","0.539160249","2.149383198","7.59E-05","1025.438804","-","-","-","-","-","yes","3>x<10","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"14","V2108","BL9","BL9_1","Belcher_9_5_2021","Belcher Glacier",5,"306","8/22/21","75.65992","-81.16727","Belcher","August","Marine","Summer",2021,4.532,"BL9_1","31.02932757","0.52","0.02","0.39","0","0.64","35.855","0.820197463","5","376.0644794","0.681910536","0.703516749","0.000381654","1024.890768","-","-","-","-","-","yes","3>x<10","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"15","V2208","BL1-B","BL1_B4","Belcher_1_40_2022","Belcher Glacier",40,"260","8/12/22","75.65833","-81.32648","Belcher- out","August","Marine","Summer",2022,0.151,"V2208_BL1_B_4","32.61191273","7.32","0.09","0.96","0.44","13.86",NA,"-1.383979797","40","335.4611867","2.754923503","0.405893962","3.97E-05","1026.427084","7.32","6.65","0.08","1.38","0.13","yes","<3","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","Upwelling, 0-50m","Upwelling, upper 50m, within 5km","Upwelling"
"16","V2208","BL6_B","BL6_B6","Belcher_6_45_2022","Belcher Glacier",45,"323","8/10/22","75.66123","-81.15945","Belcher- out","August","Marine","Summer",2022,4.753,"V2208_BL6_B_6","32.44581117","5.33","0.08","0.86","0.51","11.05",NA,"-1.233189053","45","353.3278529","1.60418023","1.43617079","2.53E-05","1026.31215","5.33","6.87","0.18","2.44","0.24","yes","3>x<10","Belcher","Strongly Tidewater-Glacier-Influenced","0-50 m","Strongly Tidewater-Glacier-Influenced","Upwelling, 0-50m","Upwelling, upper 50m, within 5km","Upwelling"
"17","A2108","JS27","JS27_20","Grise_Fiord_27_20_2021","Grise Fiord",20,"45","8/15/21","76.66462","-83.40184","Grise_Fiord_out","August","Marine","Summer",2021,11.96,"JS27_20","31.18428808","1.55","0.01","0.25","1.05","2.32",NA,"0.34579121","20","363.5355749","0.318251176","0.549588753","0.000385629","1025.112188","-","-","-","-","-","no",">10","Grise","No Tidewater Glacier Influence","0-50 m","No Tidewater Glacier Influence","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"18","A2108","JS27","JS27_5","Grise_Fiord_27_5_2021","Grise Fiord",5,"45","8/15/21","76.66462","-83.40184","Grise_Fiord_out","August","Marine","Summer",2021,11.96,"JS27_5","27.34605552","0","0","0.2","0.29","2.39",NA,"2.900628177","5","320.2981985","0.707150546","0.739661477","0.00888575","1021.817288","-","-","-","-","-","yes",">10","Grise","No Tidewater Glacier Influence","0-50 m","No Tidewater Glacier Influence","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"19","A2108","JS28","JS28_5","Grise_Fiord_28_5_2021","Grise Fiord",5,"65","8/16/21","76.65729","-83.37895","Grise_Fiord_out","August","Marine","Summer",2021,12.97,"JS28_5","27.69931779","0","0.01","0.32","0.55","2.16",NA,"2.821365125","5","323.358464","0.311344956","0.606815223","0.007956209","1022.104168","-","-","-","-","-","yes",">10","Grise","No Tidewater Glacier Influence","0-50 m","No Tidewater Glacier Influence","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"20","V2208","S12","Stn12_4","Grise_Fiord_S12_25_2022","Grise Fiord",25,"62","8/4/22","76.6621","-83.37883","Grise Fiord-out","August","Marine","Summer",2022,124.199,"V2208_S12_4","30.89070383","1.01","0.04","0.61","1.02","3.16",NA,"-0.26682226","25","385.6883541","0.011484597","0.162314398",NA,"1024.925299","1.01","5.82","-","3.28","-","yes",">10","Grise","No Tidewater Glacier Influence","0-50 m","No Tidewater Glacier Influence","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"21","V2208","S12","Stn12_2","Grise_Fiord_S12_50_2022","Grise Fiord",50,"62","8/4/22","76.6621","-83.37883","Grise Fiord-out","August","Marine","Summer",2022,124.199,"V2208_S12_2","32.47","1.4","0.05","0.67","0.97","4.37",NA,"-1.248853048","50","354.6563428","1.394419352","1.169987996",NA,"1026.349577","1.4","8.23","-","2.46","-","yes",">10","Grise","No Tidewater Glacier Influence","0-50 m","No Tidewater Glacier Influence","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"22","V2208","S13","Stn13_6","Grise_Fiord_S13_30_2022","Grise Fiord",30,"163","8/4/22","76.59278","-83.20113","Grise Fiord-out","August","Marine","Summer",2022,115.257,"V2208_S13_6","31.33804727","0.16","0.01","0.52","0.53","1.22",NA,"-0.452560425","30","394.7431793","0.086212158","0.582204183","0.000311781","1025.317496","-","-","-","-","-","yes",">10","Grise","No Tidewater Glacier Influence","0-50 m","No Tidewater Glacier Influence","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"23","V2208","S13","Stn13_8","Grise_Fiord_S13_5_2022","Grise Fiord",5,"163","8/4/22","76.59278","-83.20113","Grise Fiord-out","August","Marine","Summer",2022,115.257,"V2208_S13_8","28.23546298","0","0","0.4","0.43","0.9",NA,"0.867538452","5","348.5359713","0.315979004","0.181846619","0.016385876","1022.644799","-","-","-","-","-","yes",">10","Grise","No Tidewater Glacier Influence","0-50 m","No Tidewater Glacier Influence","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"24","A2108","JS39","JS39_5","Harbour_39_5_2021","Harbour",5,"17","8/23/21","76.65457","-84.30954","Harbour_out","August","Marine","Summer",2021,0,"JS39_5","29.77235062","0.04","0","0.45","1.01","2.17","16.5","1.946061915","5","333.2759342","0.168713194","0.430421078","0.008229234","1023.817801","-","-","-","-","-","no","<3","Harbour","No Tidewater Glacier Influence","0-50 m","No Tidewater Glacier Influence","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"25","A2108","JS40","JS40_20","Harbour_40_20_2021","Harbour",20,"100","8/16/21","76.63211","-84.28867","Harbour_out","August","Marine","Summer",2021,24.847,"JS40_20","31.64693614","2.77","0.03","0.71","0.71","4.75","0.5","0.394337856","20","389.2011423","0.198801676","0.301582105","0.000258283","1025.48249","-","-","-","-","-","yes",">10","Harbour","No Tidewater Glacier Influence","0-50 m","No Tidewater Glacier Influence","No Upwelling, 0-50m","No upwelling, upper 50m, beyond 5km","No upwelling"
"26","A2108","JS40","JS40_5","Harbour_40_5_2021","Harbour",5,"50","8/23/21","76.64662","-84.28867","Harbour_out","August","Marine","Summer",2021,1.033,"JS40_5","30.27611087","0","0","0.48","0.62","2.15","0.5","1.643485907","5","340.6272517","0.047911673","0.374512644","0.004585068","1024.239798","-","-","-","-","-","yes","<3","Harbour","No Tidewater Glacier Influence","0-50 m","No Tidewater Glacier Influence","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
"27","A2108","JS3","JS3_20","Jakeman_3_20_2021","Jakeman",20,"130","8/8/21","76.42742","-81.05199","Jakeman_practice","August","Marine","Summer",2021,4.657,"JS3_20","31.82106456","0.36","0.02","0.57",NA,"1.54",NA,"0.719244755","20","349.8900216","0.197370125","0.899887085","0.000301476","1025.604423","-","-","-","-","-","no","3>x<10","Jakeman","Weakly Tidewater-Glacier-Influenced","0-50 m","Weakly Tidewater-Glacier-Influenced","No Upwelling, 0-50m","No upwelling, upper 50m, within 5km","No upwelling"
